country,iso3,capital_lat,capital_lng,region,continent
San Marino,SMR,43.9364,12.446699,Southern Europe,Europe
Saudi Arabia,SAU,24.631969,46.715065,Middle East,Asia
Senegal,SEN,14.693425,-17.447938,Western Africa,Africa
Serbia,SRB,44.817813,20.456897,,
Seychelles,SYC,-36.59861,144.678005,Eastern Africa,Africa
Sierra Leone,SLE,8.479004,-13.26795,Western Africa,Africa
Singapore,SGP,1.357107,103.819499,Southeast Asia,Asia
Slovakia,SVK,48.151699,17.109306,Eastern Europe,Europe
Slovenia,SVN,46.04998,14.50686,Southern Europe,Europe
Solomon Islands,SLB,-9.431077,159.955255,Melanesia,Oceania
Somalia,SOM,2.042778,45.338564,Eastern Africa,Africa
South Africa,ZAF,-25.745937,28.187944,Southern Africa,Africa
South Georgia,SGS,-54.283545,-36.494636,Antarctica,Antarctica
South Korea,KOR,37.566679,126.978291,Eastern Asia,Asia
South Sudan,SSD,4.847202,31.595166,Eastern Africa,Africa
Spain,ESP,40.416705,-3.703582,Southern Europe,Europe
Sri Lanka,LKA,6.934997,79.853846,Southeast Asia,Asia
Sudan,SDN,15.593325,32.53565,Northern Africa,Africa
Suriname,SUR,5.821609,-55.177043,South America,South America
Svalbard and Jan Mayen,SJM,78.223156,15.646366,Nordic Countries,Europe
Swaziland,SWZ,-26.446285,31.208378,Southern Africa,Africa
Sweden,SWE,59.325117,18.071094,Nordic Countries,Europe
Switzerland,CHE,46.948271,7.451451,Western Europe,Europe
Syria,SYR,33.51307,36.309581,Middle East,Asia
São Tomé and Príncipe,STP,0.338924,6.731303,Central Africa,Africa
Taiwan,TWN,25.03752,121.56368,,
Tajikistan,TJK,38.542584,68.815214,Southern and Central Asia,Asia
Tanzania,TZA,-6.337282,35.737177,Eastern Africa,Africa
Thailand,THA,13.754253,100.493087,Southeast Asia,Asia
The Bahamas,BHS,25.078346,-77.338333,Caribbean,North America
The Gambia,GMB,13.441346,-16.562471,Western Africa,Africa
Togo,TGO,6.130419,1.215829,Western Africa,Africa
Trinidad and Tobago,TTO,10.657268,-61.518017,Caribbean,North America
Tunisia,TUN,33.843941,9.400138,Northern Africa,Africa
Turkey,TUR,39.920777,32.854067,Middle East,Asia
Turkmenistan,TKM,37.939668,58.387426,Southern and Central Asia,Asia
Tuvalu,TUV,-8.534995,179.11865,Polynesia,Oceania
Uganda,UGA,0.317714,32.581354,Eastern Africa,Africa
Ukraine,UKR,50.450034,30.524136,Eastern Europe,Europe
United Arab Emirates,ARE,24.474796,54.370576,Middle East,Asia
United Kingdom,GBR,51.507322,-0.127647,British Isles,Europe
United States,USA,38.894986,-77.036571,North America,North America
Uruguay,URY,-34.905904,-56.191357,South America,South America
Uzbekistan,UZB,41.312336,69.278708,Southern and Central Asia,Asia
Vanuatu,VUT,-17.741497,168.315016,Melanesia,Oceania
Venezuela,VEN,10.506098,-66.914602,South America,South America
Vietnam,VNM,21.02945,105.854444,Southeast Asia,Asia
Wales,GBR,,,,Europe
Wallis and Futuna,WLF,-13.282042,-176.174022,Polynesia,Oceania
Western Sahara,ESH,27.154512,-13.195392,Northern Africa,Africa
Yemen,YEM,15.353857,44.205884,Middle East,Asia
Zambia,ZMB,-15.416449,28.282154,Eastern Africa,Europe
Zimbabwe,ZWE,-17.831773,31.045686,Eastern Africa,Africa
